,winner_index,loser_index
1019,1344,253
1020,1344,253
1021,253,1344
1022,253,1344
1023,253,177
1024,177,253
1025,573,1101
1026,1101,446
1027,623,426
1028,498,725
1029,500,1030
1030,1024,1240
1031,1024,1240
1032,1024,1240
1033,383,1207
1034,773,990
1035,389,1008
1036,53,606
1037,53,606
1038,53,606
1039,53,606
1040,53,606
1041,421,995
1042,995,421
1043,1395,995
1044,995,1395
1045,90,108
1046,108,90
1047,563,108
1048,90,108
1049,782,688
1050,782,688
1051,782,688
1052,782,688
1053,739,1277
1054,739,1277
1055,985,548
1056,548,793
1057,882,1406
1058,1318,1037
1059,471,1095
1060,57,471
1061,57,471
1062,310,471
1063,310,471
1064,708,647
1065,647,708
1066,708,647
1067,708,647
1068,834,129
1069,129,834
1070,834,129
1071,946,445
1072,946,1203
1073,946,1203
1074,946,1203
1075,918,721
1076,420,1202
1077,420,1202
1078,1202,420
1079,420,1202
1080,1202,420
1081,1202,420
1082,420,1202
1083,437,420
1084,966,190
1085,996,805
1086,805,996
1087,805,996
1088,805,996
1089,816,996
1090,816,996
1091,816,996
1092,816,996
1093,816,996
1094,217,250
1095,250,217
1096,217,250
1097,217,250
1098,217,250
1099,217,250
1100,217,250
1101,217,250
1102,217,250
1103,217,250
1104,217,250
1105,217,250
1106,217,250
1107,217,250
1108,1007,767
1109,1007,767
1110,1007,767
1111,1007,767
1112,1007,767
1113,1007,767
1114,1007,767
1115,1007,767
1116,1007,767
1117,1007,767
1118,1007,767
1119,1007,767
1120,1007,767
1121,1007,767
1122,1007,767
1123,1007,767
1124,1007,767
1125,1007,767
1126,1007,767
1127,1007,767
1128,1007,767
1129,1007,767
1130,1007,767
1131,767,1007
1132,767,1007
1133,191,1072
1134,191,1072
1135,191,1072
1136,191,1072
1137,191,1072
1138,1072,191
1139,343,314
1140,1399,801
1141,1399,801
1142,1399,801
1143,1399,801
1144,1399,801
1145,343,866
1146,816,866
1147,1161,753
1148,1161,753
1149,59,134
1150,59,134
1151,59,134
1152,134,59
1153,343,134
1154,134,453
1155,134,1074
1156,1425,1098
1157,1425,1098
